,change in size,neighborhood,2020 offense_level size
0,-5.642256902761105,sunset park,3930
0,-19.595732734418867,throgs neck,1432
0,0.0,todt hill,43
0,-21.96620583717358,tompkinsville,508
0,-11.05072463768116,tottenville,491
0,-26.41509433962264,travis,156
0,-9.836345039209,tremont,5289
0,0.9125475285171103,tribeca,1327
0,-11.11111111111111,university heights,1744
0,-4.627949183303085,upper east side,4204
0,-10.978593272171254,upper west side,2911
0,0.0,vinegar hill,628
0,-10.591821183642368,wakefield,3520
0,-11.549925484351714,washington heights,9496
0,-34.00673400673401,west new brighton,588
0,-11.035207566999475,west village,1693
0,-7.105263157894736,westerleigh,353
0,-0.47393364928909953,whitestone,420
0,-3.025064822817632,williamsbridge,4488
0,-20.870736086175942,williamsburg,5289
0,-41.0377358490566,willowbrook,125
0,-19.015659955257274,windsor terrace,724
0,-11.518858307849133,woodhaven,1736
0,-4.09711684370258,woodlawn,632
0,-37.109375,woodrow,161
0,-5.7659932659932664,woodside,2239
